# OTC - 2025-11-11
1,5351,鈺創,19822
2,1815,富喬,17601
3,1785,光洋科,4362
4,8936,國統,3168
5,6548,長科*,2315
6,3707,漢磊,1622
7,5371,中光電,1616
8,3709,鑫聯大投控,1562
9,5340,建榮,1351
10,5309,系統電,1113
11,8155,博智,998
12,4953,緯軟,887
13,5328,華容,784
14,6485,點序,768
15,8390,金益鼎,733
16,3265,台星科,694
17,8038,長園科,620
18,5289,宜鼎,618
19,6016,康和證,596
20,6179,亞通,579
21,6188,廣明,548
22,5315,光聯,488
23,4157,太景*-KY,478
24,6217,中探針,477
25,8088,品安,469
26,3147,大綜,464
27,3498,陽程,463
28,5425,台半,463
29,2230,泰茂,428
30,6244,茂迪,408
31,8064,東捷,397
32,5498,凱崴,372
33,5392,能率,348
34,6127,九豪,340
35,8074,鉅橡,331
36,4130,健亞,322
37,8086,宏捷科,320
38,6603,富強鑫,317
39,6187,萬潤,312
40,3689,湧德,310
41,8358,金居,308
42,3323,加百裕,301
43,6425,易發,296
44,3293,鈊象,294
45,6203,海韻電,293
46,4174,浩鼎,286
47,3294,英濟,273
48,6510,精測,258
49,4760,勤凱,252
50,6026,福邦證,247
51,5314,世紀*,-3129
52,4714,永捷,-2206
53,8096,擎亞,-1840
54,1569,濱川,-1614
55,2641,正德,-1610
56,8069,元太,-1545
57,6488,環球晶,-1210
58,5439,高技,-1144
59,5483,中美晶,-1069
60,3162,精確,-973
61,4303,信立,-932
62,6223,旺矽,-842
63,6175,立敦,-830
64,8054,安國,-761
65,5443,均豪,-726
66,4979,華星光,-714
67,5347,世界,-709
68,5009,榮剛,-695
69,6143,振曜,-673
70,6265,方土昶,-620
