# OTC - 2025-12-10
1,1785,光洋科,14753
2,8358,金居,7689
3,5309,系統電,6095
4,3211,順達,2970
5,3105,穩懋,2130
6,3264,欣銓,1985
7,6664,群翊,1507
8,6274,台燿,1187
9,6190,萬泰科,926
10,6244,茂迪,761
11,3551,世禾,746
12,4979,華星光,690
13,8064,東捷,648
14,3163,波若威,597
15,6127,九豪,556
16,5347,世界,545
17,8069,元太,516
18,5009,榮剛,476
19,6188,廣明,442
20,3234,光環,441
21,6667,信紘科,421
22,6261,久元,413
23,3265,台星科,407
24,6727,亞泰金屬,389
25,5498,凱崴,343
26,3680,家登,311
27,4908,前鼎,304
28,6425,易發,304
29,5508,永信建,301
30,5481,新華,292
31,6173,信昌電,260
32,6147,頎邦,257
33,6163,華電網,235
34,6143,振曜,234
35,3081,聯亞,225
36,3131,弘塑,223
37,3455,由田,206
38,4760,勤凱,206
39,6130,上亞科技,192
40,5905,南仁湖,188
41,5381,合正,181
42,6761,穩得,180
43,5443,均豪,177
44,5432,新門,176
45,3402,漢科,174
46,8937,合騏,170
47,3227,原相,167
48,5512,力麒,167
49,8932,智通*,162
50,3290,東浦,158
51,8183,精星,153
52,3498,陽程,148
53,3537,堡達,145
54,5536,聖暉*,142
55,4130,健亞,138
56,3360,尚立,127
57,3555,博士旺,123
58,4105,東洋,117
59,6167,久正,114
60,6207,雷科,113
61,6016,康和證,112
62,5398,慕康生醫,109
63,8084,巨虹,103
64,4174,浩鼎,102
65,6788,華景電,102
66,3526,凡甲,97
67,6185,幃翔,94
68,8121,越峰,93
69,6530,創威,89
70,8047,星雲,87
71,5227,立凱-KY,86
72,4707,磐亞,85
73,3441,聯一光,84
74,8076,伍豐,82
75,6683,雍智科技,78
76,8091,翔名,77
77,6223,旺矽,74
78,8942,森鉅,73
79,4991,環宇-KY,72
80,4768,晶呈科技,68
81,5609,中菲行,68
82,3707,漢磊,67
83,3188,鑫龍騰,66
84,6609,瀧澤科,66
85,5213,亞昕,65
86,4121,優盛,62
87,6220,岳豐,60
88,3438,類比科,57
89,6651,全宇昕,52
90,6129,普誠,51
91,6208,日揚,50
92,1565,精華,49
93,3587,閎康,48
94,3379,彬台,47
95,3511,矽瑪,47
96,5302,太欣,47
97,6156,松上,47
98,8240,華宏,46
99,4167,松瑞藥,44
100,6221,晉泰,42
101,1815,富喬,-13443
102,3260,威剛,-2638
103,6265,方土昶,-2327
104,5340,建榮,-2077
105,2641,正德,-1859
106,5351,鈺創,-1832
107,3709,鑫聯大投控,-1819
108,8155,博智,-1714
109,4743,合一,-1584
110,4903,聯光通,-1513
111,3294,英濟,-1458
112,8043,蜜望實,-1346
113,3162,精確,-1322
114,5314,世紀*,-1181
115,3219,倚強科,-1162
116,5289,宜鼎,-1158
117,8086,宏捷科,-860
118,8111,立碁,-779
119,5371,中光電,-772
120,8088,品安,-768
121,5425,台半,-702
122,3529,力旺,-644
123,4157,太景*-KY,-612
124,4939,亞電,-602
125,6290,良維,-596
126,4128,中天,-555
127,8038,長園科,-548
128,6125,廣運,-545
129,8034,榮群,-529
130,8299,群聯,-471
131,5328,華容,-449
132,6275,元山,-440
133,6217,中探針,-439
134,6237,驊訊,-430
135,4971,IET-KY,-429
136,8096,擎亞,-407
137,6488,環球晶,-392
138,6175,立敦,-367
139,8431,匯鑽科,-353
140,3324,雙鴻,-349
141,8074,鉅橡,-348
142,6203,海韻電,-342
143,6182,合晶,-319
144,4973,廣穎,-308
145,3323,加百裕,-306
146,6104,創惟,-299
147,8044,網家,-296
148,4123,晟德,-295
149,8048,德勝,-291
150,8936,國統,-288
